CAZy	Description
GT2	cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-)
GT30	CMP-beta-KDO: alpha-3-deoxy-D-manno-octulosonic-acid (KDO) transferase (EC 2.4.99.-).
GT31	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.149); Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase (EC 2.4.1.122); fucose-specific beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.-); globotriosylceramide beta-1,3-GalNAc transferase (EC 2.4.1.79); chondroitin synthase (beta-1,3-GlcUA and beta-1,4-GalNAc transferase (EC 2.4.1.175); chondroitin beta-1,3-glucuronyltransferase (EC 2.4.1.226); chondroitin beta-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-); UDP-Gal: beta-galactosylxylosylprotein beta-1,3-galactosyltransferase (EC 2.4.1.134); UDP-GlcNAc: O-fucosylpeptide beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.222)
GT32	alpha-1,6-mannosyltransferase (EC 2.4.1.-); alpha-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.-); alpha-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-); GDP-Man: inositol-phosphorylceramide transferase (EC 2.4.1.-); UDP-Gal: beta-galactoside alpha-1,4-galactosyltransferase (EC 2.4.1.-); UDP-Gal: lactose/N-acetyl-lactosamine alpha-1,4-galactosyltransferase (EC 2.4.1.-); UDP-Glc: protein alpha-glucosyltransferase (EC 2.4.1.-)
GT33	GDP-Man: chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142).
GT34	UDP-Gal: galactomannan alpha-1,6-galactosyltransferase (EC 2.4.1.-); UDP-Xyl: xyloglucan alpha-1,6-xylosyltransferase (EC 2.4.2.39); alpha-1,2-galactosyltransferase (EC 2.4.1.-)
GT35	glycogen or starch phosphorylase (EC 2.4.1.1).
GT36	Deleted: now family GH94
GT37	galactoside 2-L-fucosyltransferase (EC 2.4.1.69)
GT38	polysialyltransferase (EC 2.4.-.-)
GT39	Dol-P-Man: protein alpha-mannosyltransferase (EC 2.4.1.109)
GT3	glycogen synthase (EC 2.4.1.11).
GT40	beta-1,3-galactofuranosyltransferases (EC 2.4.1.-)
GT41	UDP-GlcNAc: peptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.255); UDP-Glc: peptide N-beta-glucosyltransferase (EC 2.4.1.-)
GT42	CMP-NeuAc alpha-2,3-sialyltransferase (EC 2.4.99.-)
GT43	beta-glucuronyltransferase (EC 2.4.1.135); UDP-Xyl: xylan  beta-1,4-xylosyltransferase (EC 2.4.2.-)
GT44	UDP-Glc: alpha-glucosyltransferase (EC 2.4.1.-); UDP-GlcNAc: alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-).
GT45	alpha-N-acteylglucosaminyltransferase (EC 2.4.1.-)
GT46	Deleted
GT47	heparan beta-glucuronyltransferase (EC 2.4.1.225); xyloglucan beta-galactosyltransferase (EC 2.4.1.-); heparan synthase (EC 2.4.1.-); arabinan alpha-L-arabinosyltransferase (EC 2.4.2.-). 
GT48	1,3-beta-glucan synthase (EC 2.4.1.34)
GT49	beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.-).
GT4	sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157);  diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342)
GT50	Dol-P-Man alpha-1,4-mannosyltransferase (EC 2.4.1.-)
GT51	murein polymerase (EC 2.4.1.129). 
GT52	alpha-2,3-sialyltransferase (EC 2.4.99.4); alpha-glucosyltransferase (EC 2.4.1.-)
GT53	UDP-L-Ara: alpha-L-arabinosyltransferase (EC 2.4.2.-); DecapreP-Araf: alpha-(1,3)-arabinosyltransferase (EC 2.4.2.-); DecapreP-Araf: Lipoarabinomannan alpha-(1,5)-arabinosyltransferase (EC 2.4.2.-)
GT54	UDP-GlcNAc: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.145)
GT55	GDP-Man: mannosyl-3-phosphoglycerate synthase (EC 2.4.1.217)
GT56	TDP-Fuc4NAc: lipid II Fuc4NAc transferase (EC 2.4.1.-)
GT57	Dol-P-Glc: alpha-1,3-glucosyltransferase (EC 2.4.1.-)
GT58	Dol-P-Man: Man5GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258)
GT59	Dol-P-Glc: Glc2Man9GlcNAc2-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256)
GT5	UDP-Glc: glycogen glucosyltransferase (EC 2.4.1.11); ADP-Glc: starch glucosyltransferase (EC 2.4.1.21); NDP-Glc: starch glucosyltransferase (EC 2.4.1.242); UDP-Glc: alpha-1,3-glucan synthase (EC 2.4.1.183) UDP-Glc: alpha-1,4-glucan synthase (EC 2.4.1.-)
GT60	UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: hydroxyproline polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-)
GT61	beta-1,2-xylosyltransferase (EC 2.4.2.38) ; protein O-beta-N-acetylglucosaminyltransferase (EC 2.4.1.94) ; xylan alpha-1,3-arabinofuranosyltransferase (EC 2.4.2.-) ;
GT62	alpha-1,2-mannosyltransferase (EC 2.4.1.-); alpha-1,6-mannosyltransferase (EC 2.4.1.-)
GT63	UDP-Glc: DNA beta-glucosyltransferase (EC 2.4.1.27)
GT64	UDP-GlcNAc: heparan alpha-N-acetylhexosaminyltransferase (EC 2.4.1.224)
GT65	GDP-Fuc: protein O-alpha-fucosyltransferase (EC 2.4.1.-)
GT66	dolichyl-diphosphooligosaccharideâ€”protein glycotransferase (EC 2.4.99.18); undecaprenyl-diphosphooligosaccharideâ€”protein glycotransferase (EC 2.4.99.19) 
GT67	UDP-Gal: phosphoglycan beta-1,3-galactosyltransferase 1 (SCG1) (EC 2.4.1.-); UDP-GlcNAc beta-1,2-N-acetylglucosaminyltransferase (EC 2.4.1.-)
GT68	GDP-Fuc: protein O-alpha-fucosyltransferase (EC 2.4.1.-)
GT69	GDP-Man: alpha-1,3-mannosyltransferase (EC 2.4.1.-)
GT6	alpha-1,3-galactosyltransferase (EC 2.4.1.87); alpha-1,3 N-acetylgalactosaminyltransferase (EC 2.4.1.40); alpha-galactosyltransferase (EC 2.4.1.37); globoside alpha-N-acetylgalactosaminyltransferase (EC 2.4.1.88).
GT70	UDP-GlcA: beta-glucuronosyltransferase (EC 2.4.1.17)
GT71	alpha-mannosyltransferase (EC 2.4.1.-)
GT72	UDP-Glc: DNA alpha-glucosyltransferase (EC 2.4.1.26)
GT73	CMP-beta-KDO: alpha-3-deoxy-D-manno-octulosonic-acid (KDO) transferase (EC 2.4.99.-).
GT74	alpha-1,2-L-fucosyltransferase (EC 2.4.1.69)
GT75	UDP-Glc: self-glucosylating beta-glucosyltransferase (EC 2.4.1.-); UDP-L-arabinopyranose mutase (EC 5.4.99.-)
GT76	Dol-P-Man: alpha-1,6-mannosyltransferase (EC 2.4.1.-)
GT77	alpha-xylosyltransferase (EC 2.4.2.39); alpha-1,3-galactosyltransferase (EC 2.4.1.37); arabinosyltransferase (EC 2.4.2.-); arabinosyltransferase (EC 2.4.2.-)
GT78	GDP-Man: alpha-mannosyltransferase (mannosylglycerate synthase) (EC 2.4.1.-)
GT79	GDP-D-Ara: phosphoglycan alpha-1,2-D-arabinopyranosyltransferase 1 (EC 2.4.2.-)
GT7	lactose synthase (EC 2.4.1.22); beta-N-acetylglucosaminyl-glycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); N-acetyllactosamine synthase (EC 2.4.1.90); xylosylprotein beta-4-galactosyltransferase (EC 2.4.1.133); UDP-Gal: neolactotriaosylceramide beta-1,4-galactosyltransferase (EC 2.4.1.275); beta-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GalNAc: beta-1,3-glucuronyl-N-acetylgalactosaminyl-proteoglycan beta-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.175); UDP-GalNAc: beta-1,3-glucuronyl-galactosylproteoglycan beta-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.174); UDP-GlcA: N-acetylgalactosaminyl-proteoglycan beta-1,3-glucuronosyltransferase (EC 2.4.1.226); UDP-GalNAc: beta-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: N-acetylglucosamine-beta-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.-)
GT80	beta-galactoside alpha-2,6-sialyltransferase (EC 2.4.99.1); beta-galactoside alpha-2,3-sialyltransferase (EC 2.4.99.4)
GT81	NDP-Glc: glucosyl-3-phosphoglycerate synthase (EC 2.4.1.266); NDP-Man: mannosyl-3-phosphoglycerate synthase (EC 2.4.1.217);
GT82	UDP-GalNAc: beta-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-)
GT83	undecaprenyl phosphate-alpha-L-Ara4N: 4-amino-4-deoxy-beta-L-arabinosyltransferase (EC 2.4.2.43); dodecaprenyl phosphate-beta-galacturonic acid: lipopolysaccharide core alpha-galacturonosyl transferase (EC 2.4.1.-)
GT84	cyclic beta-1,2-glucan synthase (EC 2.4.1.-); 
GT85	beta-D-arabinofuranosyl monophosphoryldecaprenol: galactan alpha-D-arabinofuranosyltransferase (EC 2.4.2.-)
GT86	Deleted.
GT87	polyprenol-P-Man: alpha-1,2-mannosyltransferase (EC 2.4.1.-) 
GT88	UDP-Glc: alpha-glucosyltransferase (EC 2.4.1.-)
GT89	beta-D-arabinofuranosyl-1-monophosphoryldecaprenol : arabinan beta-1,2-arabinofuranosyltransferase (EC 2.4.2.-)
GT8	lipopolysaccharide alpha-1,3-galactosyltransferase (EC 2.4.1.44);  UDP-Glc: (glucosyl)lipopolysaccharide alpha-1,2-glucosyltransferase (EC 2.4.1.-); lipopolysaccharide glucosyltransferase 1 (EC 2.4.1.58); glycogenin glucosyltransferase (EC 2.4.1.186); inositol 1-alpha-galactosyltransferase (galactinol synthase) (EC 2.4.1.123); homogalacturonan alpha-1,4-galacturonosyltransferase (EC 2.4.1.43); UDP-GlcA: xylan alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Gal:glucoside alpha-1,3-galactosyltransferase (EC 2.4.1.-)
GT90	UDP-Xyl: (mannosyl) glucuronoxylomannan/galactoxylomannan beta-1,2-xylosyltransferase (EC 2.4.2.-); UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-); UDP-Xyl: protein O-beta-xylosyltransferase (EC 2.4.2.-)
GT91	beta-1,2-mannosyltransferase (EC 2.4.1.-)
GT92	UDP-Gal: N-glycan core alpha-1,6-fucoside beta-1,4-galactosyltransferase (EC 2.4.1.-); UDP-Gal: beta-galactoside beta-1,4-galactosyltransferase (EC 2.4.1.-)
GT93	UDP-GluA : alpha-glucuronyltransferase (EC 2.4.1.-) involved in GAG polymerization
GT94	GDP-Man: GlcA-beta-1,2-Man-alpha-1,3-Glc-beta-1,4-Glc-alpha-1-PP-undecaprenol beta-1,4-mannosyltransferase (2.4.1.251)
GT95	UDP-beta-L-Araf:hydroxyproline beta-L-arabinofuranosyltransferase (EC 2.4.2.-);
GT96	UDP-Gal: peptidyl serine alpha-galactosyltransferase (EC 2.4.1.-)
GT97	CMP-Neu5Ac:alpha-galactoside alpha-2,6-sialyltransferase (EC 2.4.99.-); CMP-Neu5Ac:alpha-glucoside alpha-2,6-sialyltransferase (EC 2.4.99.-);
GT98	Dol-P-Man : protein [tryptophan] alpha-C-mannosyltransferase (EC 2.4.1.-)
GT99	CMP-beta-KDO 3-deoxy-beta-D-manno-oct-2-ulosonic acid transferase (EC 2.4.99.-)
GT9	lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); heptosyltransferase (EC 2.4.-.-).
PL0	Polysaccharide lyases not yet assigned to a family.
PL10	pectate lyase (EC 4.2.2.2)
PL11	rhamnogalacturonan endolyase (EC 4.2.2.23); rhamnogalacturonan exolyase (EC 4.2.2.24)
PL12	heparin-sulfate lyase (EC 4.2.2.8); heparin lyase / heparin lyase I (EC 4.2.2.7)
PL13	heparin lyase  (EC 4.2.2.7);
PL14	alginate lyase (EC 4.2.2.3); exo-oligoalginate lyase (EC 4.2.2.26); beta-1,4-glucuronan lyase (EC 4.2.2.14); alginate lyase (EC 4.2.2.-)
PL15	alginate lyase (EC 4.2.2.3); oligoalginate lyase / exo-alginate lyase (EC 4.2.2.26); heparin lyase / heparin lyase I (EC 4.2.2.7); heparin-sulfate lyase / heparin lyase III (EC 4.2.2.8)
PL16	hyaluronan lyase (EC 4.2.2.1).
PL17	alginate lyase (EC 4.2.2.3); oligoalginate lyase (EC 4.2.2.26)
PL18	alginate lyase (EC 4.2.2.3); poly(alpha-L-guluronate) lyase / G-specific alginate lyase (EC 4.2.2.11); MG-specific alginate lyase (EC 4.2.2.-)
PL19	Deleted: now family GH91
PL1	pectate lyase (EC 4.2.2.2); exo-pectate lyase (EC 4.2.2.9); pectin lyase (EC 4.2.2.10).
PL20	endo-beta-1,4-glucuronan lyase (EC 4.2.2.14)
PL21	heparin lyase (EC 4.2.2.7); heparin-sulfate lyase (EC 4.2.2.8); acharan-sulfate lyase (EC 4.2.2.-)
PL22	oligogalacturonate lyase / oligogalacturonide lyase (EC 4.2.2.6)
PL23	chondroitin lyase (EC 4.2.2.-); 
PL24	ulvan lyase (EC 4.2.2.-).
PL25	ulvan lyase (EC 4.2.2.-).
PL26	rhamnogalacturonan exolyase (EC 4.2.2.24).
PL27	L-rhamnose-alpha-1,4-D-glucuronate lyase (EC 4.2.2.-)
PL28	ulvan lyase (EC 4.2.2.-)
PL29	chondroitin-sulfate ABC endolyase (EC 4.2.2.20)
PL2	pectate lyase (EC 4.2.2.2); exo-polygalacturonate lyase (EC 4.2.2.9).
PL30	hyaluronate lyase (EC 4.2.2.1)
PL31	endo-beta-1,4-glucuronan lyase (EC 4.2.2.14); poly(beta-mannuronate) lyase / M-specific alginate lyase (EC 4.2.2.3)
PL32	poly(beta-mannuronate) lyase / M-specific alginate lyase (EC 4.2.2.3)
PL33	hyaluronate lyase (EC 4.2.2.1); gellan lyase (EC 4.2.2.25); chondroitin sulfate lyase (EC 4.2.2.20)
PL34	alginate lyase (EC 4.2.2.-)
PL35	chondroitin lyase / chondroitinase (EC 4.2.2.-); chondroitin AC lyase (EC 4.2.2.5)
PL36	poly(beta-mannuronate) lyase / M-specific alginate lyase (EC 4.2.2.3)
PL37	chondroitin-sulfate ABC endolyase (EC 4.2.2.20); heparin-sulfate lyase / heparin lyase III (EC 4.2.2.8); ulvan lyase (EC 4.2.2.-)
PL38	endo-beta-1,4-glucuronan lyase (EC 4.2.2.14)
PL39	alginate lyase (EC 4.2.2.-)
PL3	pectate lyase (EC 4.2.2.2).
PL40	ulvan lyase (EC 4.2.2.-)
PL4	rhamnogalacturonan endolyase (EC 4.2.2.23).
PL5	alginate lyase (EC 4.2.2.3); endo-beta-1,4-glucuronan lyase (EC 4.2.2.14)
PL6	alginate lyase (EC 4.2.2.3); chondroitinase B (EC 4.2.2.19); MG-specific alginate lyase (EC 4.2.2.-); poly(alpha-L-guluronate) lyase / G-specific alginate lyase (EC 4.2.2.11); ; oligoalginate lyase / exo-alginate lyase (EC 4.2.2.26)
PL7	poly(beta-mannuronate) lyase / M-specific alginate lyase (EC 4.2.2.3); alpha-L-guluronate lyase / G-specific alginate lyase (EC 4.2.2.11); poly-(MG)-lyase / MG-specific alginate lyase (EC 4.2.2.-); endo-beta-1,4-glucuronan lyase (EC 4.2.2.14); oligoalginate lyase / exo-alginate lyase (EC 4.2.2.26)
PL8	hyaluronate lyase (EC 4.2.2.1); chondroitin AC lyase (EC 4.2.2.5); xanthan lyase (EC 4.2.2.12); chondroitin ABC lyase (EC 4.2.2.20); heparin lyase / heparin lyase I (EC 4.2.2.7)
PL9	pectate lyase (EC 4.2.2.2); exopolygalacturonate lyase (EC 4.2.2.9); thiopeptidoglycan lyase (EC 4.2.2.-); rhamnogalacturonan endolyase (EC 4.2.2.23)
