KO	Description
K13151	SNUPN, RNUT1; snurportin-1
K13152	ZMAT5; U11/U12 small nuclear ribonucleoprotein 20 kDa protein
K13153	SNRNP25; U11/U12 small nuclear ribonucleoprotein 25 kDa protein
K13154	ZCRB1; U11/U12 small nuclear ribonucleoprotein 31 kDa protein
K13155	SNRNP35; U11/U12 small nuclear ribonucleoprotein 35 kDa protein
K13156	SNRNP48; U11/U12 small nuclear ribonucleoprotein 48 kDa protein
K13157	RNPC3; U11/U12 small nuclear ribonucleoprotein 65 kDa protein
K13158	HNRNPA2B1; heterogeneous nuclear ribonucleoprotein A2/B1
K13159	HNRNPL; heterogeneous nuclear ribonucleoprotein L
K13160	SYNCRIP, HNRPQ; heterogeneous nuclear ribonucleoprotein Q
K13161	HNRNPR; heterogeneous nuclear ribonucleoprotein R
K13162	PCBP2; poly(rC)-binding protein 2
K13163	MSL1; male-specific lethal 1
K13164	MSL2; male-specific lethal 2
K13165	SFRS12; splicing factor, arginine/serine-rich 12
K13166	SFRS14; splicing factor, arginine/serine-rich 14
K13167	SFRS15, SCAF4; splicing factor, arginine/serine-rich 15
K13168	SFRS16; splicing factor, arginine/serine-rich 16
K13169	SFRS17; splicing factor, arginine/serine-rich 17
K13170	SFRS18; splicing factor, arginine/serine-rich 18
K13171	SRRM1, SRM160; serine/arginine repetitive matrix protein 1
K13172	SRRM2, SRM300; serine/arginine repetitive matrix protein 2
K13173	ARGLU1; arginine and glutamate-rich protein 1
K13174	THOC5; THO complex subunit 5
K13175	THOC6; THO complex subunit 6
K13176	THOC7; THO complex subunit 7
K13177	DDX1; ATP-dependent RNA helicase DDX1 [EC:3.6.4.13]
K13178	DDX17; ATP-dependent RNA helicase DDX17 [EC:3.6.4.13]
K13179	DDX18, HAS1; ATP-dependent RNA helicase DDX18/HAS1 [EC:3.6.4.13]
K13180	DDX26B; ATP-dependent RNA helicase DDX26B [EC:3.6.4.-]
K13181	DDX27, DRS1; ATP-dependent RNA helicase DDX27 [EC:3.6.4.13]
K13182	DDX39; ATP-dependent RNA helicase DDX39 [EC:3.6.4.13]
K13183	DDX50; ATP-dependent RNA helicase DDX50 [EC:3.6.4.13]
K13184	DHX9; ATP-dependent RNA helicase A [EC:3.6.4.13]
K13185	DHX30; ATP-dependent RNA helicase DHX30 [EC:3.6.4.13]
K13186	RBM3; RNA-binding protein 3
K13187	RBM4; RNA-binding protein 4
K13188	RBM7; RNA-binding protein 7
K13189	RBM14; RNA-binding protein 14
K13190	RBM15; RNA-binding protein 15
K13191	RBM16, SCAF8; RNA-binding protein 16
K13192	RBM26; RNA-binding protein 26
K13193	RBM27; RNA-binding protein 27
K13194	ADARB; double stranded RNA-specific editase B [EC:3.5.-.-]
K13195	CIRBP; cold-inducible RNA-binding protein
K13196	DPF2, REQ; zinc finger protein ubi-d4
K13197	IGF2BP3; insulin-like growth factor 2 mRNA-binding protein 3
K13198	KHDRBS1; KH domain-containing, RNA-binding, signal transduction-associated protein 1
K13199	SERBP1; plasminogen activator inhibitor 1 RNA-binding protein
K13200	STRBP; spermatid perinuclear RNA-binding protein
K13201	TIA1, TIAL1; nucleolysin TIA-1/TIAR
K13202	TOE1; target of EGR1 protein 1
K13203	ZFR; zinc finger RNA-binding protein
K13204	ZNF326; zinc finger protein 326
K13205	AAR2, C20orf4; A1 cistron-splicing factor AAR2
K13206	CCDC55; coiled-coil domain-containing protein 55
K13207	CUGBP, BRUNOL, CELF; CUG-BP- and ETR3-like factor
K13208	ELAVL2_3_4; ELAV like protein 2/3/4
K13209	EWSR1; RNA-binding protein EWS
K13210	FUBP; far upstream element-binding protein
K13211	GCFC; GC-rich sequence DNA-binding factor
K13212	LUC7L2; RNA-binding protein Luc7-like 2
K13213	MATR3; matrin 3
K13214	NONO, NRB54; non-POU domain-containing octamer-binding protein
K13215	NRIP2; nuclear receptor-interacting protein 2
K13216	PPP1R8, NIPP1; nuclear inhibitor of protein phosphatase 1 [EC:3.1.4.-]
K13217	PRPF39, PRP39; pre-mRNA-processing factor 39
K13218	PTBP1, PTB; polypyrimidine tract-binding protein 1
K13219	SFPQ, PSF; splicing factor, proline- and glutamine-rich
K13220	WBP4, FBP21; WW domain-binding protein 4
K13221	WDR77, MEP50; methylosome protein 50
K13222	BX1, IGL; indole-3-glycerol-phosphate lyase [EC:4.1.2.8]
K13223	BX2, CYP71C4, CYP71C9; indole-2-monooxygenase [EC:1.14.14.153]
K13224	BX3, CYP71C2, CYP71C7; indolin-2-one monooxygenase [EC:1.14.14.157]
K13225	BX4, CYP71C1, CYP71C6; 3-hydroxyindolin-2-one monooxygenase [EC:1.14.14.109]
K13226	BX5, CYP71C3, CYP71C8; 2-hydroxy-1,4-benzoxazin-3-one monooxygenase [EC:1.14.14.110]
K13227	BX8_9; UDP-glucosyltransferase BX8/BX9 [EC:2.4.1.202]
K13229	BX6; 2,4-dihydroxy-1,4-benzoxazin-3-one-glucoside dioxygenase [EC:1.14.11.59]
K13230	BX7; 2,4,7-trihydroxy-1,4-benzoxazin-3-one-glucoside 7-O-methyltransferase [EC:2.1.1.241]
K13231	STS; pinosylvin synthase [EC:2.3.1.146]
K13232	ST; stilbene synthase [EC:2.3.1.95]
K13233	DCS; phenylpropanoylacetyl-CoA synthase [EC:2.3.1.218]
K13234	CURS1_2; curcumin synthase [EC:2.3.1.217]
K13235	CAUGT2; UDP-glucose glucosyltransferase [EC:2.4.1.-]
K13236	DECR1; 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial [EC:1.3.1.124]
K13237	DECR2, SPS19; 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], peroxisomal [EC:1.3.1.124]
K13238	ECI1, DCI; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]
K13239	ECI2, PECI; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]
K13240	NOS1; nitric-oxide synthase, brain [EC:1.14.13.39]
K13241	NOS2; nitric-oxide synthase, inducible [EC:1.14.13.39]
K13242	NOS3; nitric-oxide synthase, endothelial [EC:1.14.13.39]
K13243	dos; c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]
K13244	yahA; c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]
K13245	pdeA; c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]
K13246	vieA; c-di-GMP phosphodiesterase [EC:3.1.4.52]
K13247	CRYL1; L-gulonate 3-dehydrogenase [EC:1.1.1.45]
K13248	PHOSPHO2; pyridoxal phosphate phosphatase PHOSPHO2 [EC:3.1.3.74]
K13249	SSR1; translocon-associated protein subunit alpha
K13250	SSR2; translocon-associated protein subunit beta
K13251	SSR3; translocon-associated protein subunit gamma
K13252	ptcA; putrescine carbamoyltransferase [EC:2.1.3.6]
K13254	SPAST; spastin [EC:5.6.1.1]
K13255	fhuF; ferric iron reductase protein FhuF
K13256	psiE; protein PsiE
K13257	CYP93C; 2-hydroxyisoflavanone synthase [EC:1.14.14.87]
K13258	HIDH; 2-hydroxyisoflavanone dehydratase [EC:4.2.1.105]
K13259	HI4OMT; 2,7,4'-trihydroxyisoflavanone 4'-O-methyltransferase / isoflavone 4'-O-methyltransferase [EC:2.1.1.212 2.1.1.46]
K13260	CYP81E; isoflavone/4'-methoxyisoflavone 2'-hydroxylase [EC:1.14.14.90 1.14.14.89]
K13261	CYP93A1; 3,9-dihydroxypterocarpan 6a-monooxygenase [EC:1.14.14.93]
K13262	7-IOMT; isoflavone-7-O-methyltransferase [EC:2.1.1.150]
K13263	IF7GT; isoflavone 7-O-glucosyltransferase [EC:2.4.1.170]
K13264	IF7MAT; isoflavone 7-O-glucoside-6''-O-malonyltransferase [EC:2.3.1.115]
K13265	VR; vestitone reductase [EC:1.1.1.348]
K13266	PTR; pterocarpan reductase [EC:1.23.1.-]
K13267	CYP71D9, F6H; flavonoid 6-hydroxylase [EC:1.14.13.-]
K13269	E2.4.1.234; kaempferol 3-O-beta-D-galactosyltransferase [EC:2.4.1.234]
K13270	E2.8.2.25; flavonol 3-sulfotransferase [EC:2.8.2.25]
K13271	E2.8.2.27; flavonol 4'-sulfotransferase [EC:2.8.2.27]
K13272	AOMT, CROMT2; flavonoid O-methyltransferase [EC:2.1.1.267]
K13273	PMVK; phosphomevalonate kinase [EC:2.7.4.2]
K13274	wprA; cell wall-associated protease [EC:3.4.21.-]
K13275	isp; major intracellular serine protease [EC:3.4.21.-]
K13276	bpr; bacillopeptidase F [EC:3.4.21.-]
K13277	epr; minor extracellular protease Epr [EC:3.4.21.-]
K13278	ASPG; 60kDa lysophospholipase [EC:3.1.1.5 3.1.1.47 3.5.1.1]
K13279	PRDX1; peroxiredoxin 1 [EC:1.11.1.24]
K13280	SEC11, sipW; signal peptidase I [EC:3.4.21.89]
K13281	uvsE, UVE1; UV DNA damage endonuclease [EC:3.-.-.-]
K13282	cphB; cyanophycinase [EC:3.4.15.6]
K13283	fieF; ferrous-iron efflux pump FieF
K13284	sipA, ipaA; invasin A
K13285	sipB, ipaB, bipB; invasin B
K13286	sipC, ipaC, bipC; invasin C
K13287	sipD, ipaD, bipD; invasin D
K13288	orn, REX2, REXO2; oligoribonuclease [EC:3.1.-.-]
K13289	CTSA, CPY; cathepsin A (carboxypeptidase C) [EC:3.4.16.5]
K13290	K13290; serine---pyruvate transaminase [EC:2.6.1.51]
K13291	TUT; terminal uridylyltransferase [EC:2.7.7.52]
K13292	lgt, umpA; phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]
K13293	PDE4; cAMP-specific phosphodiesterase 4 [EC:3.1.4.53]
K13294	PDEB2, PDE2B; cAMP-specific phosphodiesterase [EC:3.1.4.53]
K13295	APLF; aprataxin and PNK-like factor [EC:4.2.99.18]
K13296	PDE3B; cGMP-inhibited 3',5'-cyclic phosphodiesterase B [EC:3.1.4.17]
K13297	PTPRT; receptor-type tyrosine-protein phosphatase T [EC:3.1.3.48]
K13298	PDE11; dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11 [EC:3.1.4.17 3.1.4.35]
K13299	GSTK1; glutathione S-transferase kappa 1 [EC:2.5.1.18]
K13300	cccA; cytochrome c550
K13301	secM; secretion monitor
K13302	SGK1; serum/glucocorticoid-regulated kinase 1 [EC:2.7.11.1]
K13303	SGK2; serum/glucocorticoid-regulated kinase 2 [EC:2.7.11.1]
K13304	SGK3; serum/glucocorticoid-regulated kinase 3 [EC:2.7.11.1]
K13305	NEDD4L; E3 ubiquitin-protein ligase NEDD4-like [EC:2.3.2.26]
K13306	fcd; dTDP-4-dehydro-6-deoxyglucose reductase [EC:1.1.1.266]
K13307	tylMI; dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase [EC:2.1.1.235]
K13308	desI, eryCIV; dTDP-4-amino-4,6-dideoxy-D-glucose transaminase [EC:2.6.1.33]
K13309	desII, eryCV; dTDP-4-amino-4,6-dideoxy-D-glucose ammonia-lyase [EC:4.3.1.30]
K13310	desV, eryCI; dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase [EC:2.6.1.106]
K13311	desVI, eryCVI; dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase [EC:2.1.1.234]
K13312	tylJ, gerF; dTDP-4-dehydro-6-deoxy-D-glucose 3-epimerase [EC:5.1.3.27]
K13313	tylD, gerKI, mydI; dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase [EC:1.1.1.364]
K13315	eryBII, tylCII, tylC1, calS12, atmS12; NDP-hexose C3-ketoreductase / dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene 2,3-reductase [EC:1.1.1.-]
K13316	tylCVII, tylK; NDP-hexose 5-epimerase [EC:5.1.3.-]
K13317	eryBIII, tylCIII, tylC3; NDP-4-keto-2,6-dideoxyhexose 3-C-methyltransferase [EC:2.1.1.-]
K13318	eryBIV, tylCIV, tylC2; dTDP-4-keto-6-deoxy-L-hexose 4-reductase [EC:1.1.1.-]
K13319	oleU; 4-ketoreductase
K13320	oleY; L-olivosyl-oleandolide 3-O-methyltransferase [EC:2.1.1.239]
K13322	megDV; dTDP-4-keto-6-deoxyhexose 4-ketoreductase
K13326	megDIII; dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase [EC:2.1.1.- 2.1.1.234]
K13327	spnN, oleW; dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase [EC:1.1.1.384]
K13328	spnQ; dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase [EC:4.2.1.164]
K13329	spnR; dTDP-4-dehydro-2,3,6-trideoxy-D-glucose 4-aminotransferase [EC:2.6.1.110]
K13330	spnS; dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose N,N-dimethyltransferase [EC:2.1.1.324]
K13331	angB; NDP-deoxyhexose 3-aminotransferase
K13332	angMI; N,N-dimethyltransferase
K13333	PLB; lysophospholipase [EC:3.1.1.5]
K13334	CLC; eosinophil lysophospholipase (galectin-10) [EC:3.1.1.5]
K13335	PEX16; peroxin-16
K13336	PEX3; peroxin-3
K13337	PEX19; peroxin-19
K13338	PEX1; peroxin-1
K13339	PEX6, PXAAA1; peroxin-6
K13340	PEX26; peroxin-26
K13341	PEX7, PTS2R; peroxin-7
K13342	PEX5, PXR1; peroxin-5
K13343	PEX14; peroxin-14
K13344	PEX13; peroxin-13
K13345	PEX12, PAF3; peroxin-12
K13346	PEX10; peroxin-10
K13347	PXMP2, PMP22; peroxisomal membrane protein 2
K13348	MPV17; protein Mpv17
K13349	MPV17L; Mpv17-like protein
K13350	PXMP4, PMP24; peroxisomal membrane protein 4
K13351	PEX11A; peroxin-11A
K13352	PEX11B; peroxin-11B
K13353	PEX11C; peroxin-11C
K13354	SLC25A17, PMP34; solute carrier family 25 (peroxisomal adenine nucleotide transporter), member 17
K13355	NUDT19; nucleoside diphosphate-linked moiety X motif 19, mitochondrial [EC:3.6.1.-]
K13356	FAR; alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]
K13357	SPO1; putative meiotic phospholipase SPO1 [EC:3.1.1.-]
K13358	SLC9A3R2, NHERF2; sodium/hydrogen exchange regulatory cofactor NHE-RF2
K13359	FXYD4, CHIF; FXYD domain containing ion transport regulator 4
K13360	FXYD1, PLM; FXYD domain-containing ion transport regulator 1
K13361	FXYD3, MAT8; FXYD domain-containing ion transport regulator 3
K13362	FXYD5, DYSAD; FXYD domain-containing ion transport regulator 5
K13363	FXYD6; FXYD domain-containing ion transport regulator 6
K13364	FXYD7; FXYD domain-containing ion transport regulator 7
K13365	SLC9A3R1, NHERF1; sodium/hydrogen exchange regulatory cofactor NHE-RF1
K13366	MPAO, PAO1; polyamine oxidase [EC:1.5.3.14 1.5.3.16 1.5.3.-]
K13367	FMS1; polyamine oxidase [EC:1.5.3.17]
K13368	HSD17B2; 17beta-estradiol 17-dehydrogenase / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) [EC:1.1.1.62 1.1.1.239]
K13369	HSD17B6; 17beta-estradiol 17-dehydrogenase / all-trans-retinol dehydrogenase (NAD+) / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) [EC:1.1.1.62 1.1.1.105 1.1.1.239]
K13370	HSD17B8; 17beta-estradiol 17-dehydrogenase / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) / 3-oxoacyl-[acyl-carrier protein] reductase alpha subunit [EC:1.1.1.62 1.1.1.239]
K13371	aauA; aralkylamine dehydrogenase light chain [EC:1.4.9.2]
K13372	aauB; aralkylamine dehydrogenase heavy chain [EC:1.4.9.2]
K13373	HSD17B7; 17beta-estradiol 17-dehydrogenase / 3beta-hydroxysteroid 3-dehydrogenase [EC:1.1.1.62 1.1.1.270]
K13374	AKR1C13; aldo-keto reductase family 1 member C13 [EC:1.1.1.218]
K13375	TGFB1; transforming growth factor beta-1
K13376	TGFB2; transforming growth factor beta-2
K13377	TGFB3; transforming growth factor beta-3
K13378	nuoCD; NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]
K13379	RGP, UTM; reversibly glycosylated polypeptide / UDP-arabinopyranose mutase [EC:2.4.1.- 5.4.99.30]
K13380	nuoBCD; NADH-quinone oxidoreductase subunit B/C/D [EC:7.1.1.2]
K13381	chiA; bifunctional chitinase/lysozyme [EC:3.2.1.14 3.2.1.17]
K13382	NCS; (S)-norcoclaurine synthase [EC:4.2.1.78]
K13383	E2.1.1.128; (RS)-norcoclaurine 6-O-methyltransferase [EC:2.1.1.128]
K13384	CNMT; (RS)-1-benzyl-1,2,3,4-tetrahydroisoquinoline N-methyltransferase [EC:2.1.1.115 2.1.1.140]
K13385	CYP80B1; N-methylcoclaurine 3'-monooxygenase [EC:1.14.14.102]
K13386	E2.1.1.116; 3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase [EC:2.1.1.116]
K13387	CYP80A1; berbamunine synthase [EC:1.14.19.66]
K13389	CYP80G2; (S)-corytuberine synthase [EC:1.14.19.51]
K13390	PSOMT1; (R,S)-reticuline 7-O-methyltransferase [EC:2.1.1.291]
K13391	CYP719B1; salutaridine synthase [EC:1.14.19.67]
K13392	SALR; salutaridine reductase (NADPH) [EC:1.1.1.248]
K13393	SALAT; salutaridinol 7-O-acetyltransferase [EC:2.3.1.150]
K13394	COR1; codeinone reductase [EC:1.1.1.247]
K13395	CYP719A1_2_3_13; (S)-stylopine/(S)-canadine/(S)-nandinine synthase [EC:1.14.19.64 1.14.19.68 1.14.19.73]
K13396	E2.1.1.122; (S)-tetrahydroprotoberberine N-methyltransferase [EC:2.1.1.122]
K13397	SMT; (S)-scoulerine 9-O-methyltransferase [EC:2.1.1.117]
K13398	E2.1.1.118; columbamine O-methyltransferase [EC:2.1.1.118]
K13400	CYP72A1; secologanin synthase [EC:1.14.19.62]
K13401	CYP79D1_2; valine N-monooxygenase [EC:1.14.14.38]
K13402	MTHFD1L; monofunctional C1-tetrahydrofolate synthase, mitochondrial [EC:6.3.4.3]
K13403	MTHFD2; methylenetetrahydrofolate dehydrogenase(NAD+) / 5,10-methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.15 3.5.4.9]
K13404	CYP76B1; 7-ethoxycoumarin O-deethylase [EC:1.14.-.-]
K13405	CYP82B1; (S)-N-methylcoclaurine 3'-hydroxylase
K13406	CYP93B1; flavanone 2-hydroxylase [EC:1.14.14.162]
K13407	CYP94A1; fatty acid omega-hydroxylase [EC:1.14.-.-]
K13408	raxA; membrane fusion protein
K13409	raxB, cvaB; ATP-binding cassette, subfamily B, bacterial RaxB
K13411	DUOX, THOX; dual oxidase [EC:1.6.3.1 1.11.1.-]
K13412	CPK; calcium-dependent protein kinase [EC:2.7.11.1]
K13413	MKK4_5; mitogen-activated protein kinase kinase 4/5 [EC:2.7.12.2]
K13414	MEKK1; mitogen-activated protein kinase kinase kinase 1 [EC:2.7.11.25]
K13415	BRI1; protein brassinosteroid insensitive 1 [EC:2.7.10.1 2.7.11.1]
K13416	BAK1; brassinosteroid insensitive 1-associated receptor kinase 1 [EC:2.7.10.1 2.7.11.1]
K13417	SERK4, BKK1; somatic embryogenesis receptor kinase 4 [EC:2.7.10.1 2.7.11.1]
K13418	SERK1; somatic embryogenesis receptor kinase 1 [EC:2.7.10.1 2.7.11.1]
K13419	pknK; serine/threonine-protein kinase PknK [EC:2.7.11.1]
K13420	FLS2; LRR receptor-like serine/threonine-protein kinase FLS2 [EC:2.7.11.1]
K13421	UMPS; uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23]
K13422	MYC2; transcription factor MYC2
K13423	WRKY25; WRKY transcription factor 25
K13424	WRKY33; WRKY transcription factor 33
K13425	WRKY22; WRKY transcription factor 22
K13426	WRKY29; WRKY transcription factor 29
K13427	NOA1; nitric-oxide synthase, plant [EC:1.14.13.39]
K13428	EFR; LRR receptor-like serine/threonine-protein kinase EFR [EC:2.7.11.1]
K13429	CERK1; chitin elicitor receptor kinase 1
K13430	PBS1; serine/threonine-protein kinase PBS1 [EC:2.7.11.1]
K13431	SRPR; signal recognition particle receptor subunit alpha
K13432	PTI4; pathogenesis-related genes transcriptional activator PTI4
K13433	PTI5; pathogenesis-related genes transcriptional activator PTI5
K13434	PTI6; pathogenesis-related genes transcriptional activator PTI6
K13435	PTO; serine/threonine-protein kinase Pto
K13436	PTI1; pto-interacting protein 1 [EC:2.7.11.1]
K13437	XA21; receptor kinase-like protein
K13438	RETN; resistin
K13439	avrRpt2; cysteine protease avirulence protein AvrRpt2 [EC:3.4.22.-]
K13440	avrPphB; cysteine protease avirulence protein AvrPphB [EC:3.4.22.-]
K13441	RCR3; cysteine protease
K13442	CAPN14; calpain-14 [EC:3.4.22.-]
K13443	NPC2; Niemann-Pick C2 protein
K13444	SUMF1, FGE; formylglycine-generating enzyme [EC:1.8.3.7]
K13445	AVR9; race-specific elicitor A9
K13446	CF9; disease resistance protein
K13447	RBOH; respiratory burst oxidase [EC:1.6.3.- 1.11.1.-]
K13448	CML; calcium-binding protein CML
K13449	PR1; pathogenesis-related protein 1
K13450	ospF, mkaD, spvC; phosphothreonine lyase [EC:4.2.3.-]
K13451	avrPto1; type III effector protein AvrPto1
K13452	hopAB, avrPtoB; effector protein HopAB [EC:6.3.2.-]
K13453	PRF; disease resistance protein
K13454	avrRpm1; type III effector protein AvrRpm1
K13455	avrXccC, avrB; avirulence protein
K13456	RIN4; RPM1-interacting protein 4
K13457	RPM1, RPS3; disease resistance protein RPM1
K13458	RAR1; disease resistance protein
K13459	RPS2; disease resistance protein RPS2
K13460	RPS5; disease resistance protein RPS5
K13461	hopM1; effector protein HopM1
K13462	MIN7; guanine nucleotide-exchange factor
K13463	COI-1; coronatine-insensitive protein 1
K13464	JAZ; jasmonate ZIM domain-containing protein
K13465	EIX; ethylene-1,4-beta-xylanase [EC:3.2.1.8]
K13466	EIX1_2; EIX receptor 1/2
K13467	AVR2; Avr2 protein
K13468	K13468, CF2; disease resistance protein
K13469	AVR4; race-specific elicitor A4
K13470	CF4; disease resistance protein
K13471	CF5; disease resistance protein
K13472	raxST; sulfotransferase
K13473	CEBIP; chitin elicitor-binding protein
K13474	A10; AvrA10 protein
K13475	MLA10; R protein MLA10
K13476	AvrL567; AvrL567 protein
K13477	L6; R protein L6
K13478	popP2; type III effector protein PopP2
K13479	ygeT, xdhB; xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]
K13480	ygeU, xdhC; xanthine dehydrogenase iron-sulfur-binding subunit
K13481	xdhA; xanthine dehydrogenase small subunit [EC:1.17.1.4]
K13482	xdhB; xanthine dehydrogenase large subunit [EC:1.17.1.4]
K13483	yagT; xanthine dehydrogenase YagT iron-sulfur-binding subunit
K13484	TTHL; 5-hydroxyisourate hydrolase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:3.5.2.17 4.1.1.97]
K13485	PRHOXNB, URAD; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]
K13486	wspC; chemotaxis protein methyltransferase WspC
K13487	wspA; methyl-accepting chemotaxis protein WspA
K13488	wspB; chemotaxis-related protein WspB
K13489	wspD; chemotaxis-related protein WspD
K13490	wspE; two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE
K13491	wspF; two-component system, chemotaxis family, response regulator WspF [EC:3.1.1.61]
K13492	ZOG1; zeatin O-glucosyltransferase [EC:2.4.1.203]
K13493	UGT76C1_2; cytokinin-N-glucosyltransferase [EC:2.4.1.-]
K13494	ZOX1; zeatin O-xylosyltransferase [EC:2.4.2.40]
K13495	CISZOG; cis-zeatin O-glucosyltransferase [EC:2.4.1.215]
K13496	UGT73C; UDP-glucosyltransferase 73C [EC:2.4.1.-]
K13497	trpGD; anthranilate synthase/phosphoribosyltransferase [EC:4.1.3.27 2.4.2.18]
K13498	trpCF; indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.1.48 5.3.1.24]
K13499	CHSY; chondroitin sulfate synthase [EC:2.4.1.175 2.4.1.226]
K13500	fcbD; chondroitin synthase [EC:2.4.1.175 2.4.1.226]
K13501	TRP1; anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.3.27 4.1.1.48 5.3.1.24]
K13502	STX4; syntaxin 4
K13503	trpEG; anthranilate synthase [EC:4.1.3.27]
K13504	VAMP2; vesicle-associated membrane protein 2
K13505	VAMP3; vesicle-associated membrane protein 3
K13506	GPAT3_4, AGPAT9, AGPAT6; glycerol-3-phosphate O-acyltransferase 3/4 [EC:2.3.1.15]
K13507	GAT; glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase [EC:2.3.1.15 2.3.1.42]
K13508	GPAT; glycerol-3-phosphate acyltransferase [EC:2.3.1.15 2.3.1.198]
K13509	AGPAT1_2; lysophosphatidate acyltransferase [EC:2.3.1.51]
K13510	LPCAT1_2; lysophosphatidylcholine acyltransferase / lyso-PAF acetyltransferase [EC:2.3.1.23 2.3.1.67]
K13511	TAZ; monolysocardiolipin acyltransferase [EC:2.3.1.-]
K13512	LPCAT4, AGPAT7; lysophospholipid acyltransferase [EC:2.3.1.23 2.3.1.-]
K13513	LCLAT1, AGPAT8; lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]
K13514	LPGAT1; lysophosphatidylglycerol acyltransferase 1 [EC:2.3.1.-]
K13515	LPCAT3, MBOAT5; lysophospholipid acyltransferase 5 [EC:2.3.1.23 2.3.1.-]
K13516	MBOAT7; lysophospholipid acyltransferase 7 [EC:2.3.1.-]
K13517	MBOAT1_2; lysophospholipid acyltransferase 1/2 [EC:2.3.1.51 2.3.1.-]
K13519	LPT1, ALE1; lysophospholipid acyltransferase [EC:2.3.1.51 2.3.1.23 2.3.1.-]
K13520	icsP, sopA; outer membrane protease [EC:3.4.23.-]
K13521	CASP15; caspase 15
K13522	K13522, nadM; bifunctional NMN adenylyltransferase/nudix hydrolase [EC:2.7.7.1 3.6.1.-]
K13523	AGPAT3_4; lysophosphatidic acid acyltransferase / lysophosphatidylinositol acyltransferase [EC:2.3.1.51 2.3.1.-]
K13524	ABAT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]
K13525	VCP, CDC48; transitional endoplasmic reticulum ATPase
K13526	ATP13A2; cation-transporting P-type ATPase 13A2 [EC:7.2.2.-]
K13527	mpa; proteasome-associated ATPase
K13528	MED20; mediator of RNA polymerase II transcription subunit 20
K13529	ada-alkA; AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
K13530	adaA; AraC family transcriptional regulator, regulatory protein of adaptative response / methylphosphotriester-DNA alkyltransferase methyltransferase [EC:2.1.1.-]
K13531	adaB; methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]
K13532	kinD; two-component system, sporulation sensor kinase D [EC:2.7.13.3]
K13533	kinE; two-component system, sporulation sensor kinase E [EC:2.7.13.3]
K13534	PNPLA3; patatin-like phospholipase domain-containing protein 3 [EC:3.1.1.3 2.3.1.-]
K13535	CLD1; cardiolipin-specific phospholipase [EC:3.1.1.-]
K13536	MARCKSL1, MRP; MARCKS-related protein
K13537	CPB; cysteine peptidase B [EC:3.4.22.-]
K13538	CPA; cysteine peptidase A [EC:3.4.22.-]
K13539	LMLN; leishmanolysin-like peptidase [EC:3.4.24.-]
K13540	cobIJ; precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131]
